Date Created,Click Date,Cohort Day,Total Clicks,Clicks Today,Link,Hash,Admin/Lister
2017-05-05,2017-06-22,48,814,0,http://bit.ly/2qAqRZ1,2qAqRZ1,Lister
2017-05-30,2017-06-22,23,427,0,http://bit.ly/2qw2Umg,2qw2Umg,Admin
2017-04-27,2017-06-22,56,330,4,http://bit.ly/2pmhCZb,2pmhCZb,Admin
2017-04-11,2017-06-22,72,252,0,http://bit.ly/2oVMRgw,2oVMRgw,Admin
2017-05-02,2017-06-22,51,201,2,http://bit.ly/2qouOzy,2qouOzy,Admin
2017-04-11,2017-06-22,72,165,0,http://bit.ly/2oVu9pf,2oVu9pf,Admin
2017-06-06,2017-06-22,16,142,0,http://bit.ly/2rId5Bu,2rId5Bu,Admin
2017-05-30,2017-06-22,23,122,0,http://bit.ly/2rgBzBK,2rgBzBK,Admin
2017-05-16,2017-06-22,37,116,0,http://bit.ly/2qtOwb4,2qtOwb4,Admin
2017-06-07,2017-06-22,15,115,0,http://bit.ly/2rLN3gW,2rLN3gW,Admin
2017-05-24,2017-06-22,29,114,0,http://bit.ly/2qWG3NB,2qWG3NB,Lister
2017-04-10,2017-06-22,73,112,0,http://bit.ly/2oZdTD5,2oZdTD5,Admin
2017-05-30,2017-06-22,23,108,0,http://bit.ly/2rgc9Ej,2rgc9Ej,Admin
2017-04-06,2017-06-22,77,104,0,http://bit.ly/2oePuJ5,2oePuJ5,Lister
2017-04-27,2017-06-22,56,100,0,http://bit.ly/2pjZH5p,2pjZH5p,Admin
2017-04-10,2017-06-22,73,98,0,http://bit.ly/2onLVjZ,2onLVjZ,Admin
2017-04-22,2017-06-22,61,90,0,http://bit.ly/2q1B5h9,2q1B5h9,Lister
2017-06-19,2017-06-22,3,88,2,http://bit.ly/2sqxbAw,2sqxbAw,Lister
2017-05-12,2017-06-22,41,83,0,http://bit.ly/2pq3Fg8,2pq3Fg8,Admin
2017-05-04,2017-06-22,49,77,0,http://bit.ly/2qvGfpk,2qvGfpk,Admin
2017-05-03,2017-06-22,50,75,0,http://bit.ly/2qFQ6p8,2qFQ6p8,Lister
2017-05-01,2017-06-22,52,71,0,http://bit.ly/2pvECVJ,2pvECVJ,Admin
2017-04-26,2017-06-22,57,70,0,http://bit.ly/2pj1RST,2pj1RST,Admin
2017-05-15,2017-06-22,38,69,0,http://bit.ly/2qkwHNw,2qkwHNw,Lister
2017-04-08,2017-06-22,75,69,0,http://bit.ly/2nOEPRk,2nOEPRk,Admin
2017-06-06,2017-06-22,16,66,0,http://bit.ly/2qYKHy5,2qYKHy5,Admin
2017-06-13,2017-06-22,9,65,0,http://bit.ly/2s6cyJQ,2s6cyJQ,Admin
2017-05-01,2017-06-22,52,63,0,http://bit.ly/2qpEKpE,2qpEKpE,Lister
2017-06-05,2017-06-22,17,62,0,http://bit.ly/2rCTwuf,2rCTwuf,Lister
2017-05-26,2017-06-22,27,57,0,http://bit.ly/2r1pWP1,2r1pWP1,Admin
2017-06-13,2017-06-22,9,57,0,http://bit.ly/2rmAr2J,2rmAr2J,Admin
2017-04-09,2017-06-22,74,57,0,http://bit.ly/2onBdKh,2onBdKh,Admin
2017-05-03,2017-06-22,50,56,0,http://bit.ly/2p9cqHc,2p9cqHc,Lister
2017-05-17,2017-06-22,36,52,0,http://bit.ly/2pIur3j,2pIur3j,Admin
2017-05-22,2017-06-22,31,52,0,http://bit.ly/2q0vfkr,2q0vfkr,Admin
2017-04-28,2017-06-22,55,50,0,http://bit.ly/2ptV76K,2ptV76K,Lister
2017-05-04,2017-06-22,49,50,0,http://bit.ly/2qIBR2F,2qIBR2F,Admin
2017-05-04,2017-06-22,49,48,0,http://bit.ly/2qwkm9p,2qwkm9p,Lister
2017-04-19,2017-06-22,64,47,0,http://bit.ly/2pRrKrV,2pRrKrV,Admin
2017-05-15,2017-06-22,38,44,0,http://bit.ly/2r9A7n6,2r9A7n6,Lister
2017-05-03,2017-06-22,50,43,0,http://bit.ly/2oYn9s8,2oYn9s8,Lister
2017-04-24,2017-06-22,59,43,0,http://bit.ly/2q7WzZF,2q7WzZF,Admin
2017-04-11,2017-06-22,72,41,0,http://bit.ly/2oUvsEK,2oUvsEK,Admin
2017-05-22,2017-06-22,31,39,0,http://bit.ly/2qPRCpM,2qPRCpM,Admin
2017-05-02,2017-06-22,51,38,0,http://bit.ly/2qoBldU,2qoBldU,Lister
2017-05-07,2017-06-22,46,38,0,http://bit.ly/2qG6HwK,2qG6HwK,Admin
2017-05-03,2017-06-22,50,38,0,http://bit.ly/2p6nbck,2p6nbck,Lister
2017-04-09,2017-06-22,74,37,0,http://bit.ly/2on37G4,2on37G4,Admin
2017-05-12,2017-06-22,41,37,0,http://bit.ly/2pseHRV,2pseHRV,Admin
2017-05-15,2017-06-22,38,35,0,http://bit.ly/2qoHNyZ,2qoHNyZ,Admin
2017-05-11,2017-06-22,42,34,0,http://bit.ly/2qw0iUV,2qw0iUV,Lister
2017-05-01,2017-06-22,52,33,0,http://bit.ly/2qlotFa,2qlotFa,Lister
2017-05-24,2017-06-22,29,31,0,http://bit.ly/2qWx5A8,2qWx5A8,Admin
2017-04-25,2017-06-22,58,30,0,http://bit.ly/2q2QtNH,2q2QtNH,Lister
2017-05-10,2017-06-22,43,29,0,http://bit.ly/2pwGZpE,2pwGZpE,Lister
2017-05-26,2017-06-22,27,29,0,http://bit.ly/2r49FZt,2r49FZt,Admin
2017-04-19,2017-06-22,64,27,0,http://bit.ly/2pDeKXI,2pDeKXI,Lister
2017-05-04,2017-06-22,49,27,0,http://bit.ly/2qEsUbJ,2qEsUbJ,Lister
2017-05-01,2017-06-22,52,26,0,http://bit.ly/2pPwQcj,2pPwQcj,Lister
2017-05-04,2017-06-22,49,26,0,http://bit.ly/2qvyTSX,2qvyTSX,Lister
2017-04-11,2017-06-22,72,26,0,http://bit.ly/2oVNqXB,2oVNqXB,Admin
2017-05-05,2017-06-22,48,25,0,http://bit.ly/2qJrmx2,2qJrmx2,Lister
2017-05-22,2017-06-22,31,24,0,http://bit.ly/2q3EwZ3,2q3EwZ3,Admin
2017-04-10,2017-06-22,73,24,0,http://bit.ly/2onNgXQ,2onNgXQ,Admin
2017-04-28,2017-06-22,55,24,0,http://bit.ly/2oQsw7N,2oQsw7N,Lister
2017-06-16,2017-06-22,6,24,0,http://bit.ly/2shcVl2,2shcVl2,Admin
2017-05-02,2017-06-22,51,23,0,http://bit.ly/2qn1dGR,2qn1dGR,Lister
2017-04-29,2017-06-22,54,23,0,http://bit.ly/2qiYIm1,2qiYIm1,Lister
2017-05-26,2017-06-22,27,23,0,http://bit.ly/2r1Nvaf,2r1Nvaf,Admin
2017-05-18,2017-06-22,35,22,0,http://bit.ly/2pQbWKo,2pQbWKo,Admin
2017-05-04,2017-06-22,49,22,0,http://bit.ly/2pa7st4,2pa7st4,Lister
2017-05-17,2017-06-22,36,22,0,http://bit.ly/2pL7pZH,2pL7pZH,Admin
2017-05-17,2017-06-22,36,21,0,http://bit.ly/2pIrMqB,2pIrMqB,Admin
2017-04-19,2017-06-22,64,21,0,http://bit.ly/2pCXsNi,2pCXsNi,Lister
2017-05-11,2017-06-22,42,21,0,http://bit.ly/2potRIb,2potRIb,Lister
2017-05-10,2017-06-22,43,21,0,http://bit.ly/2qTdIud,2qTdIud,Admin
2017-05-02,2017-06-22,51,20,0,http://bit.ly/2pC6Car,2pC6Car,Admin
2017-05-05,2017-06-22,48,20,0,http://bit.ly/2qAXLbF,2qAXLbF,Lister
2017-05-05,2017-06-22,48,20,0,http://bit.ly/2q8b3N6,2q8b3N6,Lister
2017-05-12,2017-06-22,41,19,0,http://bit.ly/2pstrR3,2pstrR3,Lister
2017-05-12,2017-06-22,41,19,0,http://bit.ly/2qcWu8i,2qcWu8i,Lister
